,y,prediction
0,1,1
1,1,2
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,2
12,1,1
13,1,2
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
25,1,1
26,1,1
27,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,2,1
43,1,1
44,1,1
45,2,2
46,2,1
47,2,2
48,2,2
49,2,2
50,2,1
51,2,1
52,2,1
53,2,2
54,2,2
55,2,2
56,2,1
57,2,2
58,2,2
59,2,2
60,2,1
61,2,1
62,2,2
63,2,2
64,2,2
65,2,1
66,2,2
67,2,1
68,2,2
69,2,1
70,2,2
71,2,2
72,2,1
74,2,2
75,2,2
76,2,2
77,2,1
78,2,2
79,2,2
80,2,2
81,2,1
82,2,1
83,2,2
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
91,1,1
92,1,1
93,1,1
94,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
114,1,1
116,1,1
117,1,2
118,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,2,1
127,2,2
128,2,2
129,2,1
130,2,2
131,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,2,2
148,2,2
149,2,2
150,2,1
151,2,2
152,2,2
153,2,2
154,2,2
155,2,2
156,2,1
157,2,2
158,2,2
159,2,2
160,2,1
161,2,2
162,2,2
163,2,2
164,2,2
166,2,2
167,2,2
168,2,1
169,2,2
171,2,2
172,2,2
173,2,2
174,2,2
176,2,1
177,2,2
179,2,2
181,2,2
182,2,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
