"Time","total"
05:50:00 19-09-2025,503.48 GiB
06:00:00 19-09-2025,503.48 GiB
06:10:00 19-09-2025,503.48 GiB
06:20:00 19-09-2025,503.48 GiB
06:30:00 19-09-2025,503.48 GiB
06:40:00 19-09-2025,503.48 GiB
06:50:00 19-09-2025,503.48 GiB
07:00:00 19-09-2025,503.48 GiB
07:10:00 19-09-2025,503.48 GiB
07:20:00 19-09-2025,503.48 GiB
07:30:00 19-09-2025,503.48 GiB
07:40:00 19-09-2025,503.48 GiB
07:50:00 19-09-2025,503.48 GiB
08:00:00 19-09-2025,503.48 GiB
08:10:00 19-09-2025,503.48 GiB
08:20:00 19-09-2025,503.48 GiB
08:30:00 19-09-2025,503.48 GiB
08:40:00 19-09-2025,503.48 GiB
08:50:00 19-09-2025,503.48 GiB
09:00:00 19-09-2025,503.48 GiB
09:10:00 19-09-2025,503.48 GiB
09:20:00 19-09-2025,503.48 GiB
09:30:00 19-09-2025,503.48 GiB
09:40:00 19-09-2025,503.48 GiB
09:50:00 19-09-2025,503.48 GiB
10:00:00 19-09-2025,503.48 GiB
10:10:00 19-09-2025,503.48 GiB
10:20:00 19-09-2025,503.48 GiB
10:30:00 19-09-2025,503.48 GiB
10:40:00 19-09-2025,503.48 GiB
10:50:00 19-09-2025,503.48 GiB
11:00:00 19-09-2025,503.48 GiB
11:10:00 19-09-2025,503.48 GiB
11:20:00 19-09-2025,503.48 GiB
11:30:00 19-09-2025,503.48 GiB
11:40:00 19-09-2025,503.48 GiB
11:50:00 19-09-2025,503.48 GiB
12:00:00 19-09-2025,503.48 GiB
12:10:00 19-09-2025,503.48 GiB
12:20:00 19-09-2025,503.48 GiB
12:30:00 19-09-2025,503.48 GiB
12:40:00 19-09-2025,503.48 GiB
12:50:00 19-09-2025,503.48 GiB
13:00:00 19-09-2025,503.48 GiB
13:10:00 19-09-2025,503.48 GiB
13:20:00 19-09-2025,503.48 GiB
13:30:00 19-09-2025,503.48 GiB
13:40:00 19-09-2025,503.48 GiB
13:50:00 19-09-2025,503.48 GiB
14:00:00 19-09-2025,503.48 GiB
14:10:00 19-09-2025,503.48 GiB
14:20:00 19-09-2025,503.48 GiB
14:30:00 19-09-2025,503.48 GiB
14:40:00 19-09-2025,503.48 GiB
14:50:00 19-09-2025,503.48 GiB
15:00:00 19-09-2025,503.48 GiB
15:10:00 19-09-2025,503.48 GiB
15:20:00 19-09-2025,503.48 GiB
15:30:00 19-09-2025,503.48 GiB
15:40:00 19-09-2025,503.48 GiB
15:50:00 19-09-2025,503.48 GiB
16:00:00 19-09-2025,503.48 GiB
16:10:00 19-09-2025,503.48 GiB
16:20:00 19-09-2025,503.48 GiB
16:30:00 19-09-2025,503.48 GiB
16:40:00 19-09-2025,503.48 GiB
16:50:00 19-09-2025,503.48 GiB
17:00:00 19-09-2025,503.48 GiB
17:10:00 19-09-2025,503.48 GiB
17:20:00 19-09-2025,503.48 GiB
17:30:00 19-09-2025,503.48 GiB
17:40:00 19-09-2025,503.48 GiB
17:50:00 19-09-2025,503.48 GiB
18:00:00 19-09-2025,503.48 GiB
18:10:00 19-09-2025,503.48 GiB
18:20:00 19-09-2025,503.48 GiB
18:30:00 19-09-2025,503.48 GiB
18:40:00 19-09-2025,503.48 GiB
18:50:00 19-09-2025,503.48 GiB
19:00:00 19-09-2025,503.48 GiB
